header																
id	loadid	type	group	itemid	path	ext	uri	symbols								
zombie_dying	global	fl3dsheet	zombie	dying	data/sprites/enemy/zombie	png	data/sprites/enemy/zombie/dying.png									
zombie_hit	global	fl3dsheet	zombie	hit	data/sprites/enemy/zombie	png	data/sprites/enemy/zombie/hit.png									
zombie_stand	global	fl3dsheet	zombie	stand	data/sprites/enemy/zombie	png	data/sprites/enemy/zombie/stand.png									
zombie_walk	global	fl3dsheet	zombie	walk	data/sprites/enemy/zombie	png	data/sprites/enemy/zombie/walk.png									
																
yeti_attack	global	fl3dsheet	yeti	attack	data/sprites/enemy/yeti	png	data/sprites/enemy/yeti/attack.png									
yeti_run	global	fl3dsheet	yeti	run	data/sprites/enemy/yeti	png	data/sprites/enemy/yeti/run.png									
yeti_dead	global	fl3dsheet	yeti	dead	data/sprites/enemy/yeti	png	data/sprites/enemy/yeti/dead.png									
yeti_dying	global	fl3dsheet	yeti	dying	data/sprites/enemy/yeti	png	data/sprites/enemy/yeti/dying.png									
yeti_stand	global	fl3dsheet	yeti	stand	data/sprites/enemy/yeti	png	data/sprites/enemy/yeti/stand.png									
yeti_walk	global	fl3dsheet	yeti	walk	data/sprites/enemy/yeti	png	data/sprites/enemy/yeti/walk.png									
																
rudolf_attack	global	fl3dsheet	rudolf	attack	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/attack.png									
rudolf_dead	global	fl3dsheet	rudolf	dead	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/dead.png									
rudolf_dying	global	fl3dsheet	rudolf	dying	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/dying.png									
rudolf_hit	global	fl3dsheet	rudolf	hit	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/hit.png									
rudolf_run	global	fl3dsheet	rudolf	run	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/run.png									
rudolf_stand	global	fl3dsheet	rudolf	stand	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/stand.png									
rudolf_walk	global	fl3dsheet	rudolf	walk	data/sprites/enemy/rudolf	png	data/sprites/enemy/rudolf/walk.png									
