SYSTEM			COMMAND		SPAWN						UPGRADE				
id	Name	level	command	parameter	peep	spawn	player	total	active	rate	health	speed	turn	attack	
		14	next	15											
		15	spawn		zombie	zombie	enemy	200	100	0.1	3	3	3	3	
		15	spawn		yeti	troll	enemy	30	20	1	3	3	3	3	
		15	next	16											
		16	spawn		zombie	zombie	enemy	300	100	0.1	3	3	3	3	
		16	spawn		bomber	zombie	enemy	32	20	1	3	3	3	3	
		16	next	17											
		17	spawn		zombie	zombie	enemy	300	100	0.1	3	3	3	3	
		17	spawn		yeti	troll	enemy	34	20	1	3	3	3	3	
		17	next	18											
		18	spawn		zombie	zombie	enemy	300	100	0.1	3	3	3	3	
		18	spawn		yeti	troll	enemy	36	20	1	3	3	3	3	
		18	next	19											
		19	spawn		zombie	zombie	enemy	300	100	0.1	3	3	3	3	
		19	spawn		bomber	zombie	enemy	38	20	1	3	3	3	3	
		19	next	20											
		20	spawn		zombie	zombie	enemy	400	100	0.1	4	4	4	4	
		20	spawn		yeti	troll	enemy	40	20	1	4	4	4	4	
		20	next	21											
		21	spawn		zombie	zombie	enemy	400	100	0.1	4	4	4	4	
		21	spawn		bomber	nearplayer	enemy	42	20	1	4	4	4	4	
		21	next	22											
		22	spawn		zombie	zombie	enemy	400	100	0.1	4	4	4	4	
		22	spawn		yeti	troll	enemy	44	20	1	4	4	4	4	
		22	next	23											
		23	spawn		bomber	zombie	enemy	46	20	1	4	4	4	4	
		23	spawn		yeti	troll	enemy	46	20	1	4	4	4	4	
		23	next	24											
		24	spawn		zombie	zombie	enemy	400	100	0.1	4	4	4	4	
		24	spawn		bomber	nearplayer	enemy	48	20	1	4	4	4	4	
		24	next	25											
		25	spawn		zombie	zombie	enemy	500	100	0.1	5	5	5	5	
		25	spawn		bomber	zombie	enemy	50	20	1	5	5	5	5	
		25	next	26											
		26	spawn		zombie	zombie	enemy	500	100	0.1	5	5	5	5	
		26	spawn		yeti	troll	enemy	52	20	1	5	5	5	5	
		26	next	27											
		27	spawn		bomber	nearplayer	enemy	54	20	1	5	5	5	5	
		27	spawn		yeti	troll	enemy	54	20	1	5	5	5	5	
		27	next	28											
		28	spawn		zombie	zombie	enemy	500	100	0.1	5	5	5	5	
		28	spawn		bomber	zombie	enemy	56	20	1	5	5	5	5	
		28	next	29											
		29	spawn		zombie	zombie	enemy	500	100	0.1	5	5	5	5	
		29	spawn		bomber	zombie	enemy	58	20	1	5	5	5	5	
		29	next	30											
		30	spawn		zombie	zombie	enemy	600	100	0.1	6	6	6	6	
		30	spawn		bomber	nearplayer	enemy	60	20	1	6	6	6	6	
		30	next	31											
		31	spawn		zombie	zombie	enemy	600	100	0.1	6	6	6	6	
		31	spawn		rudolf	zombie	enemy	62	20	1	6	6	6	6	
		31	next	32											
		32	spawn		bomber	zombie	enemy	64	20	1	6	6	6	6	
		32	spawn		yeti	troll	enemy	64	20	1	6	6	6	6	
		32	next	33											
		33	spawn		zombie	zombie	enemy	600	100	0.1	6	6	6	6	
		33	spawn		yeti	troll	enemy	66	20	1	6	6	6	6	
		33	next	34											
		34	spawn		rudolf	zombie	enemy	68	20	1	6	6	6	6	
		34	spawn		bomber	zombie	enemy	68	20	1	6	6	6	6	
		34	next	35											
		35	spawn		bomber	zombie	enemy	70	20	1	7	7	7	7	
		35	spawn		yeti	troll	enemy	70	20	1	7	7	7	7	
		35	next	36											
		36	spawn		zombie	zombie	enemy	600	100	0.1	7	7	7	7	
		36	spawn		yeti	troll	enemy	72	20	1	7	7	7	7	
		36	next	37											
		37	spawn		zombie	zombie	enemy	740	100	0.1	7	7	7	7	
		37	spawn		rudolf	zombie	enemy	74	20	1	7	7	7	7	
		37	next	38											
		38	spawn		zombie	zombie	enemy	760	100	0.1	7	7	7	7	
		38	spawn		rudolf	nearplayer	enemy	76	20	1	7	7	7	7	
		38	next	39											
		39	spawn		zombie	zombie	enemy	780	100	0.1	7	7	7	7	
		39	spawn		yeti	troll	enemy	78	20	1	7	7	7	7	
		39	next	40											
		40	spawn		rudolf	zombie	enemy	80	20	1	8	8	8	8	
		40	spawn		bomber	zombie	enemy	80	20	1	8	8	8	8	
		40	next	41											
		41	spawn		rudolf	nearplayer	enemy	82	20	1	8	8	8	8	
		41	spawn		yeti	troll	enemy	82	20	1	8	8	8	8	
		41	next	42											
		42	spawn		zombie	zombie	enemy	840	100	0.1	8	8	8	8	
		42	spawn		yeti	troll	enemy	84	20	1	8	8	8	8	
		42	next	43											
		43	spawn		bomber	zombie	enemy	86	20	1	8	8	8	8	
		43	spawn		yeti	troll	enemy	86	20	1	8	8	8	8	
		43	next	44											
		44	spawn		zombie	zombie	enemy	880	100	0.1	8	8	8	8	
		44	spawn		yeti	troll	enemy	88	20	1	8	8	8	8	
		44	next	45											
		45	spawn		zombie	zombie	enemy	900	100	0.1	9	9	9	9	
		45	spawn		rudolf	zombie	enemy	90	20	1	9	9	9	9	
		45	next	46											
		46	spawn		zombie	zombie	enemy	920	100	0.1	9	9	9	9	
		46	spawn		yeti	troll	enemy	92	20	1	9	9	9	9	
		46	next	47											
		47	spawn		zombie	zombie	enemy	940	100	0.1	9	9	9	9	
		47	spawn		yeti	troll	enemy	94	20	1	9	9	9	9	
		47	next	48											
		48	spawn		bomber	nearplayer	enemy	96	20	1	9	9	9	9	
		48	spawn		yeti	troll	enemy	96	20	1	9	9	9	9	
		48	next	49											
		49	spawn		zombie	zombie	enemy	980	100	0.1	9	9	9	9	
		49	spawn		yeti	troll	enemy	98	20	1	9	9	9	9	
		49	next	50											
		50	spawn		bomber	zombie	enemy	100	20	1	10	10	10	10	
		50	spawn		yeti	troll	enemy	100	20	1	10	10	10	10	
		50	next	0											
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
