header											
id	owner	criteria	_criteria1	__operator1	value	logical	_type	_grade	_boins	_description	
award46	[character]	[character].zombie.totalKills>=50000	[character].zombie.totalKills	>=	50000	and	character.enemy.kills	1	1000000	You've defeated the Zombies with <field>[character].title</field>	
award47	[character]	[character].devil.totalKills>=50000	[character].devil.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Devils with <field>[character].title</field>	
award48	[character]	[character].bomber.totalKills>=50000	[character].bomber.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Bombers with <field>[character].title</field>	
award49	[character]	[character].ed206.totalKills>=50000	[character].ed206.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the ED 206 with <field>[character].title</field>	
award50	[character]	[character].lucifer.totalKills>=50000	[character].lucifer.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Lucifers with <field>[character].title</field>	
award51	[character]	[character].mummy.totalKills>=50000	[character].mummy.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Mummies with <field>[character].title</field>	
award52	[character]	[character].troll.totalKills>=50000	[character].troll.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Trolls with <field>[character].title</field>	
award53	[character]	[character].vampire.totalKills>=50000	[character].vampire.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Vampires with <field>[character].title</field>	
award54	[character]	[character].werewolf.totalKills>=50000	[character].werewolf.totalKills	>=	50000	and	character.enemy.kills	3	3000000	You've defeated the Werewolf with <field>[character].title</field>	
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
