header			GAME		FRONTEND																				
id	name	mapURI	mapSymbol	levelURI	order	_title	_subtitle	_description	_infoTooltip	_shopDescription	_state	_promotion	_bollars	_offers	_offerDiscount	totalLevels	_difficulty	_comingSoon	__releaseDate	availableInTotal	availableInUser	availableInVisible	tryable	tryDuration	versionType
bf0001	bf0001	data/maps/map_gfx_1.swf	map_0001	data/L_def_h_3.txt	23	Open area	Defence hard	Don't get caught out in the open. Defend your corner!	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	3	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0006	bf0006	data/maps/map_gfx_1.swf	map_0006	data/L_baddie_2.txt	24	Castle	Kill 1M baddies	They come from everywhere.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	facebook
bf0018	bf0018	data/maps/map_gfx_1.swf	map_0018	data/L_def_h_3.txt	25	Subway	Defence	Find your way out.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0019	bf0019	data/maps/map_gfx_1.swf	map_0019	data/L_baddie_3.txt	26	Church	Kill 1M baddies	Don't go in the houses.	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	"facebook,bxhnms1"
bf0024	bf0024	data/maps/map_gfx_1.swf	map_0024	data/L_yeti.txt	49	Yeti	Defeat Yeti	"Watch out for the Yeti, he wants to boil you in a cooking pot."	Awesome battlefield	_shopDescription	locked	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	bxhnms2
bf0011	bf0011	data/maps/map_gfx_1.swf	map_0000	data/L_test.txt	50	Debug	Testing	This battlefield is for testing	Testing	_shopDescription	owned	FALSE	500		30	50	1	FALSE	2/9/2011	0	0	0	FALSE	600	bxhnms1
bf0000	bf0000	data/maps/map_gfx_1.swf	map_0000	data/L_tutorial.txt	51	Tutorial	Tutorial	Tutorial	Tutorial	_shopDescription	owned	FALSE	500		30	50	2	FALSE	2/9/2011	0	0	0	FALSE	600	bxhnms1
																									
																									
																									
																									
																									
																									
																									
																									
